1,i,777225
2,to,465441
3,the,431344
4,a,311622
5,my,266691
6,you,240083
7,it,231512
8,and,230804
9,is,201299
10,in,178468
11,for,178112
12,of,149758
13,s,148736
14,t,143282
15,on,139922
16,that,133445
17,me,133035
18,so,122666
19,have,116065
20,m,110482
21,just,105735
22,with,96606
23,at,94808
24,be,88910
25,but,86673
26,was,85050
27,not,84562
28,this,78863
29,up,75072
30,can,74251
31,good,74030
32,now,73560
33,day,72272
34,out,67367
35,get,65885
36,all,65856
37,are,63334
38,like,63065
39,no,62621
40,go,60188
41,today,58627
42,quot,56632
43,going,54526
44,do,53444
45,love,53149
46,work,52930
47,your,52870
48,got,51290
49,too,50879
50,we,49516
51,what,48483
52,from,47744
53,u,47001
54,back,46838
55,time,46137
56,com,45498
57,one,42648
58,know,42103
59,about,41911
60,am,41606
61,really,40598
62,will,40235
63,had,40226
64,don,39092
65,see,37480
66,amp,36841
67,some,36705
68,its,36611
69,night,36315
70,oh,36208
71,how,36159
72,new,36058
73,there,35292
74,2,35193
75,well,35146
76,want,34913
77,home,34540
78,if,34516
79,thanks,34418
80,still,34341
81,think,33110
82,they,32880
83,when,32095
84,off,30558
85,last,30457
86,here,30323
87,he,30247
88,as,30182
89,miss,30168
90,morning,30121
91,much,29490
92,more,29411
93,an,28834
94,ll,28811
95,need,28751
96,twitter,27799
97,has,27578
98,great,27457
99,been,27452
100,tomorrow,27432
101,re,27249
102,hope,27170
103,her,25789
104,again,24811
105,feel,24526
106,wish,24331
107,why,24299
108,sad,24293
109,or,24138
110,then,23850
111,she,23300
112,sleep,22949
113,fun,22940
114,right,22348
115,tonight,22247
116,happy,22137
117,3,22069
118,only,21910
119,bad,21898
120,would,21708
121,very,21546
122,sorry,21344
123,did,21017
124,by,20833
125,getting,20533
126,yeah,20365
127,come,20262
128,watching,20197
129,way,19765
130,make,19680
131,gonna,19570
132,bit,19395
133,over,19353
134,nice,18945
135,bed,18647
136,them,18541
137,should,18283
138,wait,18275
139,hey,18211
140,better,18096
141,could,17801
142,week,17715
143,school,17249
144,hate,16915
145,people,16571
146,yes,16449
147,though,16233
148,thank,15799
149,days,15636
150,weekend,15554
151,after,15432
152,4,15387
153,awesome,15306
154,him,15114
155,down,15001
156,who,14853
157,cant,14852
158,d,14662
159,next,14590
160,even,14510
161,were,14269
162,never,14216
163,working,14104
164,first,14033
165,long,13928
